route_id	substrate	substrate_label	corrected_ATP_auxiliary_equivalents_per_product_Cmol	corrected_NADH_auxiliary_equivalents_per_product_Cmol	corrected_NADPH_auxiliary_equivalents_per_product_Cmol	corrected_total_reducing_auxiliary_equivalents_per_product_Cmol	corrected_positive_auxiliary_cofactor_burden	cofactor_accounting_basis	stage
805073febfdf63b4	methanol	Methanol	0.0	-0.166667	-2.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
f991bf0b27b0367f	methanol	Methanol	0.0	-2.166667	-0.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
3a388e4705d6f977	methanol	Methanol	0.0	-2.166667	-0.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
24a260262deffd56	methanol	Methanol	0.0	-2.166667	-0.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
a7b08fa5d0f6063f	methanol	Methanol	0.0	-1.166667	-1.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
c072fd928c2bf52a	methanol	Methanol	-0.5	0.0	-2.5	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
57280e5c00e0973b	methanol	Methanol	-0.5	0.0	-2.5	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
b29e74157bfbaa11	methanol	Methanol	-0.5	-1.0	-1.5	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
264d438b2809f105	methanol	Methanol	-0.5	-1.0	-1.5	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
bff43819dbf5f3b9	methanol	Methanol	-0.5	-1.0	-1.5	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
c97b059903385897	methanol	Methanol	-0.5	-0.5	-2.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
e81f14350928c207	methanol	Methanol	-0.5	0.0	-2.5	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
6570dea43d535800	methanol	Methanol	-0.5	-1.0	-1.5	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	thermodynamics_excluded
6db5f77cd21ea5bc	methanol	Methanol	-0.5	-1.0	-1.5	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	thermodynamics_excluded
f34001ea10331291	methanol	Methanol	-0.5	-1.0	-1.5	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	thermodynamics_excluded
641dfd6d5f0136d7	methanol	Methanol	-0.5	-0.5	-2.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
76705550ba316802	methanol	Methanol	0.0	-1.166667	-1.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
99360300fdfac565	methanol	Methanol	0.0	-1.166667	-1.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
a56da6a85b13b88c	methanol	Methanol	0.0	-1.166667	-1.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
f89f0b9cf3364893	methanol	Methanol	0.0	-0.666667	-1.833333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
61175aa70fb3ea3a	methanol	Methanol	0.0	-2.166667	-0.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
aafc5427d7dcd704	methanol	Methanol	0.0	-2.166667	-0.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
db07d520d548c850	methanol	Methanol	0.0	-1.666667	-0.833333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
0133cb1114fff111	methanol	Methanol	0.0	-2.166667	-0.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
338fbe26c1e01d4a	methanol	Methanol	0.0	-1.666667	-0.833333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
8bd300856cc7b0e3	methanol	Methanol	0.0	-1.666667	-0.833333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
c86bd374133432c9	methanol	Methanol	0.0	-0.166667	-2.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
2645f9a845659d49	methanol	Methanol	0.0	-0.833333	-1.666667	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
cda476b103255255	methanol	Methanol	0.0	-0.833333	-1.666667	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
5e58f10bd831136e	methanol	Methanol	0.0	-0.833333	-1.666667	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
7730ddb327c2e6ba	methanol	Methanol	0.0	-0.5	-2.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
e69609f8ce47209f	methanol	Methanol	0.0	-0.833333	-1.666667	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
96672d674eb22af0	methanol	Methanol	0.0	-0.833333	-1.666667	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
0212117c58d09dca	methanol	Methanol	0.0	-0.833333	-1.666667	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
b88369ac6a7a2476	methanol	Methanol	0.0	-0.5	-2.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
6cd307c8a04fbd03	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
b75bec071ae7197f	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
148d7d1a66bccddc	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
9b7b99525de43fbd	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
743f6602ce1e4e8f	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
d05da1c28f8be418	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
7d0451d905bc5678	methanol	Methanol	0.0	-0.833333	-1.666667	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
2534e0f1dec702b4	methanol	Methanol	0.0	-0.833333	-1.666667	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
b273733b6c645c25	methanol	Methanol	0.0	-0.833333	-1.666667	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
b37caaf0cfd989cc	methanol	Methanol	0.0	-0.833333	-1.666667	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
a9f555aa0b76f34b	methanol	Methanol	-0.5	-1.333333	-1.166667	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
5e6e80d74499101f	methanol	Methanol	-0.5	-1.333333	-1.166667	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
0e77b70868d966c8	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
693abc2bca534529	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
de11d0b4d04ade37	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
2d0dc1e98bc32102	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
60cee65651e4f74e	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
d88b4665d5c73714	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
0ab16982ef4b947b	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
5c530078282ab0b9	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
2e2a7af700170103	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
2c0e9263510ab0ec	methanol	Methanol	0.0	-1.5	-1.0	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
5f30d7cdda9d2428	methanol	Methanol	0.0	-2.166667	-0.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
485030efe5b75d32	methanol	Methanol	0.0	-2.166667	-0.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
155790bf95c13202	methanol	Methanol	0.0	-2.166667	-0.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
177144108029225b	methanol	Methanol	0.0	-2.166667	-0.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
4008b86fca685ffe	methanol	Methanol	0.333333	0.666667	-2.0	-1.333333	1.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	thermodynamics_excluded
