substrate	carbon_class	candidate_number	reaction_code	reaction_id	pathway_count	step_min	step_q1	step_median	step_mean	step_q3	step_max	single_reaction_pathway_count	single_reaction_step_median	le20_pathway_denominator	le20_occurrence_count	le20_occurrence_percent
formaldehyde	C3	2	02_RMP	R10-RXN	60	10.0	21.0	25.0	24.066666666666666	30.0	33.0	5	12.0	42	10	23.80952380952381
formaldehyde	C4	2	02_RMP	R10-RXN	205	10.0	30.0	33.0	35.326829268292684	36.0	63.0	8	11.5	40	21	52.5
formaldehyde	C2	3	03_FTK	FORMALDEHYDE-TRANSKETOLASE-RXN	116	8.0	27.0	29.0	27.17241379310345	31.0	59.0	5	11.0	48	22	45.833333333333336
formaldehyde	C3	3	03_FTK	FORMALDEHYDE-TRANSKETOLASE-RXN	70	10.0	20.0	21.0	23.257142857142856	30.0	31.0	5	12.0	42	32	76.19047619047619
formaldehyde	C4	3	03_FTK	FORMALDEHYDE-TRANSKETOLASE-RXN	194	10.0	30.0	32.0	33.84020618556701	35.0	66.0	8	11.5	40	22	55.0
formaldehyde	C2	8	08_FC1	RXN-2881-FORMALDEHYDE/CPD-12994//CPD-12998/WATER.40.	86	16.0	24.0	27.5	27.0	30.0	32.0	5	24.0	48	5	10.416666666666666
formaldehyde	C3	8	08_FC1	RXN-2881-FORMALDEHYDE/CPD-12994//CPD-12998/WATER.40.	58	20.0	21.0	26.0	25.086206896551722	28.0	30.0	5	25.0	42	10	23.80952380952381
formaldehyde	C4	8	08_FC1	RXN-2881-FORMALDEHYDE/CPD-12994//CPD-12998/WATER.40.	158	18.0	30.0	33.0	34.54430379746835	35.0	62.0	8	29.5	40	2	5.0
formaldehyde	C2	9	09_FC2	RXN-2881-FORMALDEHYDE/CPD-12995//CPD-12997/WATER.40.	85	16.0	24.0	27.0	26.96470588235294	30.0	32.0	5	24.0	48	5	10.416666666666666
formaldehyde	C3	9	09_FC2	RXN-2881-FORMALDEHYDE/CPD-12995//CPD-12997/WATER.40.	58	20.0	21.0	26.0	25.17241379310345	28.0	30.0	5	25.0	42	8	19.047619047619047
formaldehyde	C4	9	09_FC2	RXN-2881-FORMALDEHYDE/CPD-12995//CPD-12997/WATER.40.	158	18.0	30.0	33.0	34.34177215189873	35.0	65.0	8	29.5	40	2	5.0
formaldehyde	C2	10	10_FC3	RXN-2881-FORMALDEHYDE/CPD-1301//CPD-12996/WATER.39.	86	16.0	24.0	27.5	27.058139534883722	30.0	32.0	5	24.0	48	5	10.416666666666666
formaldehyde	C3	10	10_FC3	RXN-2881-FORMALDEHYDE/CPD-1301//CPD-12996/WATER.39.	58	20.0	21.0	26.0	25.20689655172414	28.0	30.0	5	25.0	42	8	19.047619047619047
formaldehyde	C4	10	10_FC3	RXN-2881-FORMALDEHYDE/CPD-1301//CPD-12996/WATER.39.	161	18.0	30.0	33.0	34.77018633540373	35.0	66.0	8	29.5	40	2	5.0
formaldehyde	C2	11	11_H4F	RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	86	16.0	24.0	27.5	27.38372093023256	30.0	59.0	5	24.0	48	5	10.416666666666666
