route_id,product,product_label,product_class,class_order,product_order,substrate,unified_step_count,mdf_kJ_per_mol
991fa971e4ad8086,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,methanol,16,4.254090353083603
d755e5c1fb83cba1,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,methanol,11,13.36494502739878
e34570de418da801,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,methanol,10,13.257526405167903
04efaa21720d4152,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,14,13.590979965099892
0c460e5700bda4bc,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,18,15.39760394856929
0c6d0d96e4c8701b,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,18,8.086808947259925
0d0f48587aad0b21,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,20,7.245856388440306
1113e1fdc44b6c4e,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,18,9.643930329333111
1236a5bc225aff26,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,17,10.645569754855718
151257b14c9f4584,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,20,5.19665122879849
161628ff55d26fe7,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,20,10.714677349675192
1800bfc3529b5112,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,18,6.715099667185387
1b0cbd5a480dc950,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,14,19.548758479414875
234901bfc4b6c6d4,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,19,7.0894792760763305
254815a84605eebc,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,14,15.138268557204269
28e4771896d6f782,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,20,8.194937165343914
29372398586a609d,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,20,6.664686569120135
3277bfbb962bd15a,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,19,9.675111999001285
3918c2577909b214,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,8,22.137177425132776
471b30cc75f44fc9,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,17,9.57878996648025
4d7114d94cb6da39,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,12,17.018223621643934
5a56c899c8bf825d,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,17,10.107876100764718
638ab8c6a27f6212,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,15,8.674201744297745
677f00a4b6f77a5d,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,20,10.157565665586477
678e2783f91011fd,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,17,2.8205510692732965
6841846e5c2dc135,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,17,16.739134165556955
7500b21326ff1bc1,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,9,23.855692143056807
7ae4ac10e752a287,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,17,10.107876101547356
7bbcdb7d8e20cdb3,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,19,13.274416451857272
7e5513fbfa5aad80,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,18,5.501100107805552
828c09af6bf6eea7,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,14,9.925960194327224
86286f1b85c31e58,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,19,5.53420235879924
91f5887f8cdb3fce,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,20,7.144730676828629
931d09ca721a198d,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,11,20.52134540205284
988de0bd93dc750d,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,19,12.260830205559303
9ac36898667ba8c0,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,19,8.43615693595572
a1c4679604957aa2,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,17,12.229431383172868
a4cb124e300d04d7,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,19,7.780265370306622
a5f18796a71fbd79,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,20,7.554061763794984
ab57e115be618e1b,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,19,10.157565668171223
aee3aa485df6b291,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,19,9.699530807776158
af2232499bbbf985,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,18,7.388558777380997
b6af7cf9b6fa3060,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,19,11.340193626674944
b7106d5ab3293208,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,18,11.409891688754117
baea935a15f3c002,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,12,22.99442373384096
bc55765b4512fcdf,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,19,7.089479300181405
bcf38c9d41318f0e,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,13,17.371462825939272
cbd7d9ac2f4dffdd,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,20,7.24585638446004
d03bc835fe146c28,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,18,7.032196601956064
d1913c1c5cf87c98,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,13,16.409891379861204
d9b2e107adbaacf1,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,17,9.611849011068983
da8012446ea9bb7e,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,20,9.705468621288002
dba4336499b2f0f6,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,18,7.032198328093594
e43c38d90e14ddbe,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,20,6.778635961160552
e4c41ca4fa6fc90e,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,16,9.937753303326948
ea2ca80a0ad4a568,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,19,10.157562521200484
f9a3c2a163985a47,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,18,9.611850102165748
fefcc4a6cd6d0d51,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,co2,13,19.186242170913363
2ee305fb0e91c450,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,formaldehyde,6,11.869058295098911
5d0968e7581c7147,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,formaldehyde,11,9.567686850729531
cb9b9d531c3bb551,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,formaldehyde,11,8.866754668091346
feeb197b25a3b126,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,formaldehyde,12,10.71079416534734
65270d70eebb10ee,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,formate,19,9.59126773526246
f111262b57ef0976,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,formate,17,10.107876103443957
22999a7333532794,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,methanol,11,12.072560258886591
2b67111a14e89e11,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,methanol,11,12.072560258066456
3404ef88d5e9bc61,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,methanol,19,11.202550155374484
353d30877526b626,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,methanol,11,12.072560258982003
411e876213c26469,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,methanol,18,12.195109667122942
7cda5a62b95d0ea4,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,methanol,8,11.958392767606796
9b66e6adc504fb61,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,methanol,18,12.195109671655592
a02839a9ba0e5b9b,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,methanol,13,12.139809322627846
e2a7f6e3a826cdea,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,methanol,8,11.958392759141512
edaea48df7fac309,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,methanol,8,11.958392775603787
eef50d2742c6937f,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,methanol,18,12.19510966915949
f8d538a86debef8b,PYRUVATE_c,Pyruvate,Central metabolic hubs,0,4,methanol,13,3.4303594424983888
1656cef941c3ffe6,G3P_c,3-PG,Central metabolic hubs,0,5,co2,20,9.70546868207544
31e621e4ced9a2fc,G3P_c,3-PG,Central metabolic hubs,0,5,co2,20,9.675113039289316
3a9bfb264c7bd213,G3P_c,3-PG,Central metabolic hubs,0,5,co2,12,12.816430319911442
41efa0f9d3bd1357,G3P_c,3-PG,Central metabolic hubs,0,5,co2,17,10.107876100764718
49d0c3d8886a8bca,G3P_c,3-PG,Central metabolic hubs,0,5,co2,19,10.157565668338524
51df1696d1633aa5,G3P_c,3-PG,Central metabolic hubs,0,5,co2,17,13.017911752421124
5a120252524e7f70,G3P_c,3-PG,Central metabolic hubs,0,5,co2,13,14.236413852107953
5c582453185e32dd,G3P_c,3-PG,Central metabolic hubs,0,5,co2,17,10.017462205315
5ca61760ae43a50e,G3P_c,3-PG,Central metabolic hubs,0,5,co2,20,10.157565665830443
5e618521c6e9ff06,G3P_c,3-PG,Central metabolic hubs,0,5,co2,17,10.01746223564552
67122d03a7acf60a,G3P_c,3-PG,Central metabolic hubs,0,5,co2,17,12.678939842089534
6a0e9d5ed8dac4f5,G3P_c,3-PG,Central metabolic hubs,0,5,co2,17,12.38422544518104
9864b9d7e3241533,G3P_c,3-PG,Central metabolic hubs,0,5,co2,16,12.995648177479133
9dd1f995358a4bca,G3P_c,3-PG,Central metabolic hubs,0,5,co2,15,12.940879996352864
a77077fa90f5bace,G3P_c,3-PG,Central metabolic hubs,0,5,co2,20,10.747911133846534
aa863b195cbb66e8,G3P_c,3-PG,Central metabolic hubs,0,5,co2,19,10.157565667610417
ae15e4a75ae27214,G3P_c,3-PG,Central metabolic hubs,0,5,co2,17,10.107876102123404
ae23197219883c69,G3P_c,3-PG,Central metabolic hubs,0,5,co2,17,16.93389623003761
b3c79eb7786b949d,G3P_c,3-PG,Central metabolic hubs,0,5,co2,20,9.70546868998636
e6fd88c4e031a051,G3P_c,3-PG,Central metabolic hubs,0,5,co2,16,16.62519776114083
e8d22f1fdab5d6f0,G3P_c,3-PG,Central metabolic hubs,0,5,co2,20,2.5909141453485107
0082cd995a3bae72,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,20,9.84950364415424
02964059ffa5f5fe,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,20,9.849502891552646
0ed4e55b1c717304,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,20,9.84950289154621
0fa8a9d4a3bba66c,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,12,5.997557013185663
1de62fea4ae2e0c3,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,12,7.033774815195417
38ea1b7f1b8f4e61,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,20,9.8495036441543
3cf1a23d7a7c47e2,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,20,9.849502890107336
3eb0ed9260b0bcc4,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,20,9.805891364264886
4c6a3df8b8ac290d,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,20,9.849502891552802
6032a2c43b79d1d5,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,20,9.805891364265936
6453b79217fd2de1,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,14,5.9094619931031165
7ca37994736dde91,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,20,8.618855275081335
828f8f17a71ebb98,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,20,9.849503644152758
edf0464615874f3e,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,20,9.80589136426489
f59aa414896c0bdf,G3P_c,3-PG,Central metabolic hubs,0,5,formaldehyde,6,19.191355067270248
7f19ba8ae6aa2783,G3P_c,3-PG,Central metabolic hubs,0,5,formate,17,10.107876103443957
846f3dcb4e24de60,G3P_c,3-PG,Central metabolic hubs,0,5,formate,20,9.591267740987004
ed263f089ca4bd58,G3P_c,3-PG,Central metabolic hubs,0,5,formate,19,9.59126773526246
0810c5554edb8059,G3P_c,3-PG,Central metabolic hubs,0,5,methanol,7,19.302271241225
2f4c3505c01cd79a,G3P_c,3-PG,Central metabolic hubs,0,5,methanol,8,19.40504405188067
7cbd5c92d076e728,G3P_c,3-PG,Central metabolic hubs,0,5,methanol,7,19.302271228563075
84dcbeeb73799d98,G3P_c,3-PG,Central metabolic hubs,0,5,methanol,8,19.40504405000988
94db1b991ab38bc8,G3P_c,3-PG,Central metabolic hubs,0,5,methanol,7,19.30227123938695
edee34bd3c60bbe9,G3P_c,3-PG,Central metabolic hubs,0,5,methanol,9,19.501244936734903
fadd4b8190e4eacc,G3P_c,3-PG,Central metabolic hubs,0,5,methanol,8,19.40504406042816
2762152fb6fb3bec,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,19,5.534202348750156
2dd72735854012e6,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,17,10.107876102123404
4255959c9434e9fe,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,18,9.611850177277876
47fd3360998ebdf6,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,19,10.157565667610417
5d3292313c06b3f2,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,19,7.089479267547566
693200109749c3db,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,20,9.70546867984202
70aeff55f67bb2fd,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,19,7.441745941271289
81a33532c4a168e3,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,19,9.643930427062378
879daa5391ec0a38,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,19,10.157565668338524
8e282f7a1024d984,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,17,10.107876103387868
92269074ac27c790,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,20,10.157565665830443
9655607ec7fe35fa,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,19,11.409891688489388
9c0bcc4f8d2b8aff,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,20,7.144732353140847
a816f1b05bc4ac59,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,15,12.20185743831819
b43d8dbd856ed90d,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,20,5.582624660360077
b47192a3882c9be3,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,14,17.421506480642996
c3dab5c99420ad11,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,19,9.675113097831437
daabbe1f0b06190d,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,20,9.705468621288002
eb2b48dd905520ba,PHOSPHO__45__ENOL__45__PYRUVATE_c,PEP,Central metabolic hubs,0,11,co2,20,7.144732412794653
